0,1,2,3,4,5,Placement
0.22949885918507837,0.40878378378378366,9.0,1.0,0.0,1.0,0
-0.7665539131469916,0.08108108108108092,2.0,0.0,1.0,1.0,0
-0.23532576790322096,0.4138513513513512,3.0,1.0,0.0,4.0,0
-1.5633961310126476,0.28378378378378366,1.0,0.0,1.0,1.0,0
0.6943234862733777,0.5945945945945946,1.0,0.0,1.0,2.0,0
-2.2938348307228322,0.47804054054054046,5.0,1.0,0.0,0.0,0
-1.231378540235291,0.7989864864864863,8.0,1.0,0.0,5.0,0
-0.9657644676134056,0.6655405405405405,6.0,0.0,1.0,0.0,0
0.4951129318069637,0.599662162162162,5.0,1.0,0.0,5.0,0
-0.7665539131469916,0.41891891891891875,2.0,1.0,0.0,5.0,0
-0.633746876836049,0.6047297297297295,5.0,0.0,1.0,0.0,0
-0.23532576790322096,0.7753378378378378,4.0,0.0,1.0,0.0,0
-0.832957431302463,0.7668918918918918,3.0,0.0,1.0,5.0,0
-0.3681328042141636,0.6858108108108106,2.0,1.0,0.0,3.0,1
-0.16892224974774964,0.3260135135135135,9.0,1.0,0.0,5.0,0
0.4287094136514924,0.9273648648648646,9.0,1.0,0.0,4.0,1
0.9599375588952631,0.125,3.0,1.0,0.0,0.0,0
0.36230589549602105,0.6182432432432429,1.0,1.0,0.0,0.0,0
0.4287094136514924,0.8023648648648646,0.0,1.0,0.0,0.0,0
-0.43453632236963496,0.24493243243243235,5.0,1.0,0.0,4.0,0
0.36230589549602105,0.8429054054054052,0.0,0.0,1.0,5.0,0
-1.3641855765462336,0.233108108108108,5.0,1.0,0.0,3.0,0
-0.1025187315922783,0.5895270270270269,4.0,0.0,1.0,3.0,0
-0.23532576790322096,0.13344594594594594,8.0,1.0,0.0,3.0,0
-0.9657644676134056,0.8192567567567567,4.0,1.0,0.0,2.0,0
-1.5633961310126476,0.6841216216216214,3.0,1.0,0.0,2.0,0
0.561516449962435,0.5760135135135135,7.0,1.0,0.0,0.0,0
-0.7665539131469916,0.46114864864864835,1.0,1.0,0.0,4.0,0
-0.5009398405251063,0.15202702702702708,2.0,0.0,1.0,2.0,0
-0.3681328042141636,0.5270270270270269,1.0,0.0,1.0,3.0,0
0.16309534102960704,0.26858108108108103,0.0,0.0,1.0,2.0,0
0.22949885918507837,0.05067567567567566,6.0,0.0,1.0,1.0,0
0.2959023773405497,0.8445945945945942,7.0,0.0,1.0,0.0,0
0.36230589549602105,0.5253378378378378,2.0,0.0,1.0,1.0,0
-2.825062975966603,0.5777027027027025,1.0,1.0,0.0,0.0,0
0.0966918228741357,0.42567567567567555,9.0,1.0,0.0,5.0,0
1.2255516315171484,0.35304054054054046,1.0,1.0,0.0,2.0,0
-1.032167985768877,0.4341216216216216,0.0,0.0,1.0,0.0,0
0.03028830471866437,0.5692567567567567,8.0,1.0,0.0,0.0,0
0.8271305225843204,0.07939189189189177,0.0,0.0,1.0,1.0,0
-0.5009398405251063,0.6824324324324323,4.0,1.0,0.0,5.0,0
0.4951129318069637,0.6756756756756753,9.0,1.0,0.0,3.0,1
0.6943234862733777,0.06756756756756754,7.0,1.0,0.0,2.0,0
0.6943234862733777,0.25506756756756743,5.0,0.0,1.0,0.0,0
0.561516449962435,0.8175675675675674,4.0,1.0,0.0,4.0,0
-0.9657644676134056,0.7212837837837837,3.0,0.0,1.0,3.0,1
